Merged_final_assignment,Plankton_classification,Taxa
[Candida] sake,Non_plankton,Non_plankton
Abothrium gadi,Non_plankton,Non_plankton
Abra,Meroplankton,Meroplankton
Abra alba,Meroplankton,Meroplankton
Abra longicallus,Meroplankton,Meroplankton
Abra nitida,Meroplankton,Meroplankton
Abra prismatica,Meroplankton,Meroplankton
Abyssoninoe,Meroplankton,Meroplankton
Abyssoninoe hibernica,Meroplankton,Meroplankton
Acanthamoeba,Non_plankton,Non_plankton
Acanthamoeba castellanii,Non_plankton,Non_plankton
Acanthocardia echinata,Meroplankton,Meroplankton
Acanthochitona discrepans,Meroplankton,Meroplankton
Acanthocyclops,Holoplankton,Copepoda
Acanthodendrilla australis,Meroplankton,Meroplankton
Acanthodoris pilosa,Meroplankton,Meroplankton
Acartia,Holoplankton,Copepoda
Acartia Acanthacartia bifilosa,Holoplankton,Copepoda
Acartia Acanthacartia tonsa,Holoplankton,Copepoda
Acartia Acartiura clausii,Holoplankton,Copepoda
Acartia Acartiura hudsonica,Holoplankton,Copepoda
Acartia Acartiura longiremis,Holoplankton,Copepoda
Acesta excavata,Meroplankton,Meroplankton
Acinetosporaceae,Phytoplankton,Phytoplankton
Acrochaetiaceae,Phytoplankton,Phytoplankton
Acrochaetium,Phytoplankton,Non_plankton
Acrochaetium humile,Phytoplankton,Non_plankton
Acrochaetium moniliforme,Phytoplankton,Phytoplankton
Acrochaetium parvulum,Phytoplankton,Phytoplankton
Acrochaetium secundatum,Phytoplankton,Phytoplankton
Acroporidae,Holoplankton,Cnidaria
Acteon tornatilis,Meroplankton,Meroplankton
Actinauge cristata,Meroplankton,Meroplankton
Actinauge richardi,Meroplankton,Meroplankton
Actiniaria,Meroplankton,Meroplankton
Actiniidae,Meroplankton,Meroplankton
Adamsia palliata,Meroplankton,Meroplankton
Adeonidae,Meroplankton,Meroplankton
Adephaga,Non_plankton,Non_plankton
Aderidae,Non_plankton,Non_plankton
Aedes,Non_plankton,Non_plankton
Aedini,Non_plankton,Non_plankton
Aegires punctilucens,Meroplankton,Meroplankton
Aegisthidae,Holoplankton,Copepoda
Aeolidia filomenae,Meroplankton,Meroplankton
Aeolidia papillosa,Meroplankton,Meroplankton
Aeolidiella glauca,Meroplankton,Meroplankton
Aeolidiidae,Meroplankton,Meroplankton
Aequipecten opercularis,Meroplankton,Meroplankton
Aequorea vitrina,Holoplankton,Cnidaria
Aetea anguina,Meroplankton,Meroplankton
Aetea truncata,Meroplankton,Meroplankton
Aetideidae,Holoplankton,Copepoda
Aetideopsis,Holoplankton,Copepoda
Aetideopsis armata,Holoplankton,Copepoda
Aetideus,Holoplankton,Copepoda
Aetideus armatus,Holoplankton,Copepoda
Afranthidium,Non_plankton,Non_plankton
Agalma,Holoplankton,Cnidaria
Agalma elegans,Holoplankton,Cnidaria
Agalmatidae,Holoplankton,Cnidaria
Agaricales,Non_plankton,Non_plankton
Agelasidae,Non_plankton,Non_plankton
Agelenidae,Non_plankton,Non_plankton
Aglantha digitale,Holoplankton,Cnidaria
Aglaophamus agilis,Meroplankton,Meroplankton
Aglaophamus pulcher,Meroplankton,Meroplankton
Aglaophenia,Holoplankton,Cnidaria
Aglaophenia pluma,Holoplankton,Cnidaria
Aglaopheniidae,Holoplankton,Cnidaria
Aglaothamnion tenuissimum,Phytoplankton,Phytoplankton
Agromyzidae,Non_plankton,Non_plankton
Ahnfeltia plicata,Phytoplankton,Phytoplankton
Akera bullata,Meroplankton,Meroplankton
Alaria,Phytoplankton,Phytoplankton
Alaria esculenta,Phytoplankton,Phytoplankton
Alcyonidiidae,Meroplankton,Meroplankton
Alcyonidium,Meroplankton,Meroplankton
Alcyonidium diaphanum,Meroplankton,Meroplankton
Alcyonidium polyoum,Meroplankton,Meroplankton
Alcyonium,Meroplankton,Meroplankton
Alcyonium digitatum,Meroplankton,Meroplankton
Alderia modesta,Meroplankton,Meroplankton
Alepocephaliformes,Meroplankton,Meroplankton
Alexandrium,Phytoplankton,Phytoplankton
Alexandrium catenella,Phytoplankton,Phytoplankton
Alexandrium fundyense,Phytoplankton,Phytoplankton
Alexandrium lusitanicum,Phytoplankton,Phytoplankton
Alitta virens,Meroplankton,Meroplankton
Alpheidae,Meroplankton,Meroplankton
Alpheus bellulus,Meroplankton,Meroplankton
Alteromonadales,Non_plankton,Non_plankton
Alteromonas,Non_plankton,Non_plankton
Alteutha interrupta,Holoplankton,Copepoda
Alvania beanii,Meroplankton,Meroplankton
Alvania cimicoides,Meroplankton,Meroplankton
Alvania punctura,Meroplankton,Meroplankton
Amathia,Meroplankton,Meroplankton
Amathia gracilis,Meroplankton,Meroplankton
Ammodytes,Meroplankton,Meroplankton
Ammodytes marinus,Meroplankton,Meroplankton
Ammodytidae,Meroplankton,Meroplankton
Ampharete octocirrata,Meroplankton,Meroplankton
Ampharetidae,Meroplankton,Meroplankton
Amphibalanus,Meroplankton,Meroplankton
Amphictene auricoma,Meroplankton,Meroplankton
Amphidinium,Phytoplankton,Phytoplankton
Amphidinium mootonorum,Phytoplankton,Phytoplankton
Amphidoma languida,Phytoplankton,Phytoplankton
Amphiglena,Meroplankton,Meroplankton
Amphilepidida,Meroplankton,Meroplankton
Amphilepis norvegica,Meroplankton,Meroplankton
Amphilinidea,Non_plankton,Non_plankton
Amphinema rugosum,Holoplankton,Cnidaria
Amphipoda,Holoplankton,Amphipoda
Amphiporidae,Meroplankton,Meroplankton
Amphiroa,Phytoplankton,Non_plankton
Amphissa,Non_plankton,Non_plankton
Amphiura chiajei,Meroplankton,Meroplankton
Amphiura filiformis,Meroplankton,Meroplankton
Amphorina,Meroplankton,Meroplankton
Amphorina pallida,Meroplankton,Meroplankton
Anapagurus,Meroplankton,Meroplankton
Anapagurus chiroacanthus,Meroplankton,Meroplankton
Anapagurus hyndmanni,Meroplankton,Meroplankton
Anapagurus laevis,Meroplankton,Meroplankton
Anarhichas lupus,Meroplankton,Meroplankton
Ancorinidae,Meroplankton,Meroplankton
Anechura bipunctata,Non_plankton,Non_plankton
Anelasma squalicola,Meroplankton,Meroplankton
Anisakis simplex,Meroplankton,Meroplankton
Annulariidae,Meroplankton,Meroplankton
Anomalocera patersonii,Holoplankton,Copepoda
Anopheles,Non_plankton,Non_plankton
Anoplocephalidae,Non_plankton,Non_plankton
Ansanella granifera,Phytoplankton,Phytoplankton
Antalis entalis,Meroplankton,Meroplankton
Anthoathecata,Meroplankton,Meroplankton
Anthopleura elegantissima,Meroplankton,Meroplankton
Antithamnion,Phytoplankton,Non_plankton
Antithamnion hubbsii,Phytoplankton,Phytoplankton
Anura,Non_plankton,Non_plankton
Aonides oxycephala,Meroplankton,Meroplankton
Aonides paucibranchiata,Meroplankton,Meroplankton
Aoridae,Holoplankton,Amphipoda
Aoroides,Holoplankton,Amphipoda
Apatelodidae,Non_plankton,Non_plankton
Aphalaridae,Non_plankton,Non_plankton
Aphanomyces,Non_plankton,Non_plankton
Aphia minuta,Meroplankton,Meroplankton
Aphragmophora,Holoplankton,Chaetognatha
Aphrodita aculeata,Meroplankton,Meroplankton
Aphroditidae,Meroplankton,Meroplankton
Apidae,Non_plankton,Non_plankton
Aplousobranchia,Meroplankton,Meroplankton
Aplysia punctata,Meroplankton,Meroplankton
Apocrita,Non_plankton,Non_plankton
Apodida,Meroplankton,Meroplankton
Apoglossum ruscifolium,Phytoplankton,Non_plankton
Apoidea,Non_plankton,Non_plankton
Apolemia,Holoplankton,Cnidaria
Apolemia uvaria,Holoplankton,Cnidaria
Aporrhaidae,Meroplankton,Meroplankton
Aporrhais,Meroplankton,Meroplankton
Aporrhais pespelecani,Meroplankton,Meroplankton
Aporrhais serresiana,Meroplankton,Meroplankton
Appasus major,Non_plankton,Non_plankton
Arachnactidae,Meroplankton,Meroplankton
Arachnanthus sarsi,Meroplankton,Meroplankton
Araneae,Non_plankton,Non_plankton
Araneoidea,Non_plankton,Non_plankton
Araneomorphae,Non_plankton,Non_plankton
Arbacioida,Meroplankton,Meroplankton
Archidoris pseudoargus,Meroplankton,Meroplankton
Archinemertea,Meroplankton,Meroplankton
Architaenioglossa,Meroplankton,Meroplankton
Arctica islandica,Meroplankton,Meroplankton
Argentina silus,Meroplankton,Meroplankton
Argentina sphyraena,Meroplankton,Meroplankton
Argis,Non_plankton,Non_plankton
Argissa hamatipes,Holoplankton,Amphipoda
Armina loveni,Meroplankton,Meroplankton
Arthoniaceae,Non_plankton,Non_plankton
Arthoniales,Non_plankton,Non_plankton
Artiodactyla,Non_plankton,Non_plankton
Ascidia,Meroplankton,Meroplankton
Ascidia conchilega,Phytoplankton,Phytoplankton
Ascidia mentula,Phytoplankton,Phytoplankton
Ascidiacea,Non_plankton,Non_plankton
Ascidiella,Phytoplankton,Phytoplankton
Ascidiella aspersa,Phytoplankton,Phytoplankton
Ascophyllum nodosum,Phytoplankton,Phytoplankton
Asparagopsis taxiformis,Phytoplankton,Phytoplankton
Aspergillaceae,Non_plankton,Non_plankton
Aspergillus,Phytoplankton,Non_plankton
Aspergillus oryzae,Non_plankton,Non_plankton
Asteiidae,Non_plankton,Non_plankton
Asterias rubens,Meroplankton,Meroplankton
Asterina,Non_plankton,Non_plankton
Asterina gibbosa,Meroplankton,Meroplankton
Asterina gibbosa (Pennant 1777),Meroplankton,Meroplankton
Asterinidae,Meroplankton,Meroplankton
Asterionellopsis,Phytoplankton,Phytoplankton
Astropecten irregularis,Meroplankton,Meroplankton
Astrophorina,Non_plankton,Non_plankton
Atalodoris pusilla,Meroplankton,Meroplankton
Atelecyclidae,Meroplankton,Meroplankton
Atelecyclus,Meroplankton,Meroplankton
Atelecyclus rotundatus,Meroplankton,Meroplankton
Athanas nitescens,Meroplankton,Meroplankton
Atherospio guillei,Meroplankton,Meroplankton
Atlantopandalus,Meroplankton,Meroplankton
Atlantopandalus propinqvus,Meroplankton,Meroplankton
Atteva,Non_plankton,Non_plankton
Attheya longicornis,Phytoplankton,Phytoplankton
Atylotus,Non_plankton,Non_plankton
Audouinella hermannii,Phytoplankton,Phytoplankton
Augeneria,Meroplankton,Meroplankton
Aurantiochytrium,Phytoplankton,Phytoplankton
Aurelia aurita,Holoplankton,Cnidaria
Aureococcus anophagefferens,Non_plankton,Non_plankton
Axinellida,Meroplankton,Meroplankton
Azadinium,Phytoplankton,Phytoplankton
Baccha,Non_plankton,Non_plankton
Bacillariaceae,Phytoplankton,Phytoplankton
Bacillariales,Phytoplankton,Non_plankton
Baicaliidae,Meroplankton,Meroplankton
Balanidae,Meroplankton,Meroplankton
Balanus,Meroplankton,Meroplankton
Balanus balanus,Meroplankton,Meroplankton
Balanus crenatus,Meroplankton,Meroplankton
Bangia,Phytoplankton,Phytoplankton
Bangia fuscopurpurea,Non_plankton,Non_plankton
Bangiaceae,Non_plankton,Non_plankton
Bangiales,Non_plankton,Non_plankton
Barantolla americana,Meroplankton,Meroplankton
Barentsia gracilis,Meroplankton,Meroplankton
Bathycoccus prasinos,Phytoplankton,Phytoplankton
Bathyctenidae,Holoplankton,Ctenophora
Batzella aurantiaca,Meroplankton,Meroplankton
Belone belone,Meroplankton,Meroplankton
Belostomatidae,Non_plankton,Non_plankton
Benthosema glaciale,Meroplankton,Meroplankton
Berghia norvegica,Meroplankton,Meroplankton
Berkeleyaceae,Phytoplankton,Phytoplankton
Beroe,Holoplankton,Ctenophora
Beroe cucumis,Holoplankton,Ctenophora
Berthella plumula,Meroplankton,Meroplankton
Bestiolina,Holoplankton,Copepoda
Bethylidae,Non_plankton,Non_plankton
Biecheleria cincta,Phytoplankton,Phytoplankton
Biemna,Meroplankton,Meroplankton
Biemna variantia,Meroplankton,Meroplankton
Biemnidae,Meroplankton,Meroplankton
Biomphalaria,Meroplankton,Meroplankton
Bionectriaceae,Non_plankton,Non_plankton
Bittium reticulatum,Meroplankton,Meroplankton
Blastomonas,Non_plankton,Non_plankton
Blattidae,Non_plankton,Non_plankton
Blattodea,Non_plankton,Non_plankton
Blenniiformes,Meroplankton,Meroplankton
Boccardia pugettensis,Meroplankton,Meroplankton
Boletaceae,Non_plankton,Non_plankton
Boletales,Non_plankton,Non_plankton
Bolinopsis,Holoplankton,Ctenophora
Bolinopsis infundibulum,Holoplankton,Ctenophora
Boltenia echinata,Phytoplankton,Phytoplankton
Bombycidae,Non_plankton,Non_plankton
Bonellia viridis,Meroplankton,Meroplankton
Bonnemaisonia asparagoides,Phytoplankton,Non_plankton
Bonnemaisonia hamifera,Phytoplankton,Phytoplankton
Bonnemaisoniales,Phytoplankton,Phytoplankton
Bonneviellidae,Holoplankton,Cnidaria
Bopyridae,Meroplankton,Meroplankton
Bopyroides hippolytes,Meroplankton,Meroplankton
Boreomysis (Boreomysis) arctica,Holoplankton,Other
Boreomysis Boreomysis arctica,Holoplankton,Other
Boroecia,Holoplankton,Ostracoda
Boroecia antipoda,Holoplankton,Ostracoda
Boroecia borealis,Holoplankton,Ostracoda
Boroecia maxima,Holoplankton,Ostracoda
Bos taurus,Non_plankton,Non_plankton
Bosminidae,Meroplankton,Meroplankton
Bossiella,Phytoplankton,Non_plankton
Bothriocephalidea,Non_plankton,Non_plankton
Boudemos ardabilia,Meroplankton,Meroplankton
Bougainvillia,Holoplankton,Cnidaria
Bougainvillia britannica,Holoplankton,Cnidaria
Bougainvillia muscoides,Holoplankton,Cnidaria
Bougainvillia muscus,Holoplankton,Cnidaria
Bougainvillia principis,Holoplankton,Cnidaria
Bougainvillia superciliaris,Holoplankton,Cnidaria
Bougainvilliidae,Holoplankton,Cnidaria
Brachiokasakhstania,Non_plankton,Non_plankton
Brachionidae,Meroplankton,Meroplankton
Brachionus,Non_plankton,Non_plankton
Brachybasidiaceae,Non_plankton,Non_plankton
Brachycera,Non_plankton,Non_plankton
Brachystomia,Meroplankton,Meroplankton
Braconidae,Non_plankton,Non_plankton
Bradyidius armatus,Holoplankton,Copepoda
Bramidae,Meroplankton,Meroplankton
Branchiostoma lanceolatum,Meroplankton,Meroplankton
Brissopsis lyrifera,Meroplankton,Meroplankton
Brosme brosme,Meroplankton,Meroplankton
Bryocamptus Arcticocamptus cuspidatus cuspidatus,Holoplankton,Copepoda
Buccinoidea,Meroplankton,Meroplankton
Buenia jeffreysii,Meroplankton,Meroplankton
Bugulidae,Meroplankton,Meroplankton
Bulinus,Meroplankton,Meroplankton
Burkholderia,Non_plankton,Non_plankton
Burkholderiaceae,Non_plankton,Non_plankton
Burkholderiales,Non_plankton,Non_plankton
Buthidae,Non_plankton,Non_plankton
Bylgides,Meroplankton,Meroplankton
Bylgides groenlandicus,Meroplankton,Meroplankton
Cafeteria roenbergensis,Non_plankton,Non_plankton
Calanidae,Holoplankton,Copepoda
Calanoida,Holoplankton,Copepoda
Calanus,Holoplankton,Copepoda
Calanus euxinus,Holoplankton,Copepoda
Calanus finmarchicus,Holoplankton,Calanus
Calanus glacialis,Holoplankton,Copepoda
Calanus helgolandicus,Holoplankton,Copepoda
Calanus helgolandicus helgolandicus,Holoplankton,Copepoda
Calanus hyperboreus,Holoplankton,Copepoda
Caligidae,Holoplankton,Copepoda
Caligus coryphaenae,Meroplankton,Meroplankton
Caligus curtus,Meroplankton,Meroplankton
Caligus elongatus,Meroplankton,Meroplankton
Calliactis palliata,Meroplankton,Meroplankton
Callianassa,Meroplankton,Meroplankton
Callianassa subterranea,Meroplankton,Meroplankton
Callianassidae,Meroplankton,Meroplankton
Callianax,Meroplankton,Meroplankton
Callionymus lyra,Meroplankton,Meroplankton
Callionymus maculatus,Meroplankton,Meroplankton
Callionymus reticulatus,Meroplankton,Meroplankton
Calliopaea,Meroplankton,Meroplankton
Calliopaea bellula,Meroplankton,Meroplankton
Calliostoma laugieri,Meroplankton,Meroplankton
Callipallene,Meroplankton,Meroplankton
Callipallenidae,Meroplankton,Meroplankton
Calliphoridae,Non_plankton,Non_plankton
Callithamniaceae,Phytoplankton,Phytoplankton
Callithamnion corymbosum,Phytoplankton,Phytoplankton
Callochiton septemvalvis,Meroplankton,Meroplankton
Callopora lineata,Meroplankton,Meroplankton
Calocalanus contractus,Holoplankton,Copepoda
Calocalanus styliremis,Holoplankton,Copepoda
Calocarides coronatus,Meroplankton,Meroplankton
Calosilpha brunnicollis,Non_plankton,Non_plankton
Calycophorae,Holoplankton,Cnidaria
Camaenidae,Meroplankton,Meroplankton
Camarodonta,Meroplankton,Meroplankton
Cambalopsidae,Non_plankton,Non_plankton
Campanularia hincksii,Holoplankton,Cnidaria
Campanulariidae,Holoplankton,Cnidaria
Campylaspis horrida,Meroplankton,Meroplankton
Canalipalpata,Meroplankton,Meroplankton
Cancer pagurus,Meroplankton,Meroplankton
Candacia,Holoplankton,Copepoda
Candacia armata,Holoplankton,Copepoda
Candacia norvegica norvegica,Holoplankton,Copepoda
Candaciidae,Holoplankton,Copepoda
Candidatus Pelagibacter,Non_plankton,Non_plankton
Candiella plebeia,Meroplankton,Meroplankton
Cantharidae,Non_plankton,Non_plankton
Capitella,Meroplankton,Meroplankton
Capitella capitata,Meroplankton,Meroplankton
Capitellidae,Meroplankton,Meroplankton
Capulidae,Meroplankton,Meroplankton
Capulus ungaricus,Meroplankton,Meroplankton
Carabidae,Non_plankton,Non_plankton
Carangidae,Non_plankton,Non_plankton
Carcharhinidae,Non_plankton,Non_plankton
Carcinonemertes,Meroplankton,Meroplankton
Carcinus maenas,Meroplankton,Meroplankton
Cardiida,Meroplankton,Meroplankton
Caridion,Meroplankton,Meroplankton
Caridion gordoni,Meroplankton,Meroplankton
Carinina ochracea,Meroplankton,Meroplankton
Carinoma,Meroplankton,Meroplankton
Carinomiformes,Meroplankton,Meroplankton
Carnoidea,Non_plankton,Non_plankton
Carradoriella elongata,Phytoplankton,Phytoplankton
Carronella pellucida,Meroplankton,Meroplankton
Caryophyllia Caryophyllia smithii,Meroplankton,Meroplankton
Caryophyllia diomedeae,Meroplankton,Meroplankton
Caryophylliidae,Holoplankton,Cnidaria
Caryophylliina,Non_plankton,Non_plankton
Cassiopeidae,Non_plankton,Non_plankton
Caulobacterales,Non_plankton,Non_plankton
Cecidomyiidae,Non_plankton,Non_plankton
Celleporella hyalina,Meroplankton,Meroplankton
Centropages,Holoplankton,Copepoda
Centropages hamatus,Holoplankton,Copepoda
Centropages typicus,Holoplankton,Copepoda
Centropagidae,Holoplankton,Copepoda
Cephalaspidea,Meroplankton,Meroplankton
Cephalothrix,Meroplankton,Meroplankton
Cephalothrix arenaria,Meroplankton,Meroplankton
Cephalothrix linearis,Meroplankton,Meroplankton
Cephalotrichidae,Meroplankton,Meroplankton
Ceramiaceae,Holoplankton,Cnidaria
Ceramiales,Phytoplankton,Phytoplankton
Ceramium,Phytoplankton,Non_plankton
Ceramium pallidum,Phytoplankton,Phytoplankton
Ceramium secundatum,Phytoplankton,Phytoplankton
Ceramium virgatum,Phytoplankton,Phytoplankton
Cerastoderma edule,Meroplankton,Meroplankton
Ceratiaceae,Phytoplankton,Non_plankton
Ceratobasidiaceae,Non_plankton,Non_plankton
Ceratocephale loveni,Meroplankton,Meroplankton
Ceratopogonidae,Non_plankton,Non_plankton
Cerebratulidae,Meroplankton,Meroplankton
Cerebratulus,Meroplankton,Meroplankton
Cerebratulus fuscus,Meroplankton,Meroplankton
Cerebratulus marginatus,Meroplankton,Meroplankton
Cerianthidae,Meroplankton,Meroplankton
Cerodontha,Non_plankton,Non_plankton
Chaetoceros socialis,Phytoplankton,Phytoplankton
Chaetocerotales,Phytoplankton,Non_plankton
Chaetodermatida,Non_plankton,Non_plankton
Chaetonotus,Non_plankton,Non_plankton
Chaetophorales,Phytoplankton,Non_plankton
Chaetopteris plumosa,Phytoplankton,Phytoplankton
Chaetopterus variopedatus,Meroplankton,Meroplankton
Chaetozone chambersae,Meroplankton,Meroplankton
Chaetozone pugettensis,Meroplankton,Meroplankton
Chalcidoidea,Non_plankton,Non_plankton
Chalinidae,Phytoplankton,Phytoplankton
Chamaemyiidae,Non_plankton,Non_plankton
Chamelea striatula,Meroplankton,Meroplankton
Chaoboridae,Non_plankton,Non_plankton
Characiformes,Meroplankton,Meroplankton
Charopidae,Meroplankton,Meroplankton
Cheilostomatida,Non_plankton,Non_plankton
Cheiracanthiidae,Non_plankton,Non_plankton
Chelidonichthys cuculus,Meroplankton,Meroplankton
Chimaera monstrosa,Meroplankton,Meroplankton
Chionoecetes japonicus,Meroplankton,Meroplankton
Chionoecetes opilio,Meroplankton,Meroplankton
Chironomidae,Non_plankton,Non_plankton
Chironomoidea,Non_plankton,Non_plankton
Chlorellales,Non_plankton,Non_plankton
Chloroidium,Non_plankton,Non_plankton
Chloroparvula,Phytoplankton,Non_plankton
Chloroparvula pacifica,Phytoplankton,Phytoplankton
Chloropicon,Phytoplankton,Non_plankton
Chloropicon roscoffensis,Phytoplankton,Phytoplankton
Chloropicon sieburthii,Phytoplankton,Phytoplankton
Chondrus crispus,Phytoplankton,Phytoplankton
Chorda filum,Phytoplankton,Phytoplankton
Chordaria flagelliformis,Phytoplankton,Phytoplankton
Chordariaceae,Phytoplankton,Phytoplankton
Chromulinales,Phytoplankton,Phytoplankton
Chrysochromulina,Phytoplankton,Non_plankton
Chrysochromulina camella,Non_plankton,Non_plankton
Chrysochromulina parva,Phytoplankton,Non_plankton
Chrysochromulina simplex,Non_plankton,Non_plankton
Chrysochromulina throndsenii,Phytoplankton,Phytoplankton
Chrysomelidae,Non_plankton,Non_plankton
Chrysopidae,Non_plankton,Non_plankton
Chrysopinae,Non_plankton,Non_plankton
Cicadellidae,Non_plankton,Non_plankton
Cicadidae,Non_plankton,Non_plankton
Cidaris,Meroplankton,Meroplankton
Cidaris abyssicola,Meroplankton,Meroplankton
Ciliata mustela,Meroplankton,Meroplankton
Ciliatocardium ciliatum,Meroplankton,Meroplankton
Ciona intestinalis,Phytoplankton,Phytoplankton
Cladosporium,Non_plankton,Non_plankton
Cladosporium herbarum,Non_plankton,Non_plankton
Clausocalanidae,Holoplankton,Copepoda
Clausocalanus,Holoplankton,Copepoda
Clausocalanus arcuicornis arcuicornis,Holoplankton,Copepoda
Clausocalanus jobei,Holoplankton,Copepoda
Clausocalanus lividus,Holoplankton,Copepoda
Clausocalanus parapergens,Holoplankton,Copepoda
Clausocalanus pergens,Holoplankton,Copepoda
Clausophyidae,Holoplankton,Cnidaria
Clavicipitaceae,Non_plankton,Non_plankton
Clavularia crassa,Meroplankton,Meroplankton
Clelandella miliaris,Meroplankton,Meroplankton
Cleridae,Non_plankton,Non_plankton
Clione,Holoplankton,Pteropoda
Clione limacina,Holoplankton,Pteropoda
Clionidae,Holoplankton,Pteropoda
Clubionidae,Non_plankton,Non_plankton
Clupea harengus,Meroplankton,Meroplankton
Clytia,Holoplankton,Cnidaria
Clytia gracilis,Holoplankton,Cnidaria
Clytia hemisphaerica,Holoplankton,Cnidaria
Clytia islandica,Holoplankton,Cnidaria
Clytiidae,Holoplankton,Cnidaria
Coccinellidae,Non_plankton,Non_plankton
Coccolithaceae,Phytoplankton,Non_plankton
Cocculinida,Meroplankton,Meroplankton
Cochliopodiidae,Non_plankton,Non_plankton
Cochliopodium,Non_plankton,Non_plankton
Coenobitidae,Meroplankton,Meroplankton
Colaconema,Phytoplankton,Phytoplankton
Colaconema daviesii,Phytoplankton,Phytoplankton
Coleoptera,Non_plankton,Non_plankton
Colletotrichum,Non_plankton,Non_plankton
Colpomenia,Phytoplankton,Phytoplankton
Columbellidae,Meroplankton,Meroplankton
Colwelliaceae,Non_plankton,Non_plankton
Comamonadaceae,Non_plankton,Non_plankton
Comatulida,Meroplankton,Meroplankton
Conchoecia magna,Holoplankton,Ostracoda
Coniopterygidae,Non_plankton,Non_plankton
Coralliidae,Meroplankton,Meroplankton
Corallinaceae,Phytoplankton,Phytoplankton
Corallinales,Phytoplankton,Phytoplankton
Cordagalma,Holoplankton,Cnidaria
Cordycipitaceae,Non_plankton,Non_plankton
Cordylophora,Non_plankton,Non_plankton
Cordylophoridae,Non_plankton,Non_plankton
Coreidae,Non_plankton,Non_plankton
Corella parallelogramma,Phytoplankton,Phytoplankton
Cornularia cornucopiae,Meroplankton,Meroplankton
Coronatae,Holoplankton,Cnidaria
Corvus,Non_plankton,Non_plankton
Corvus corone,Non_plankton,Non_plankton
Corycaeidae,Holoplankton,Copepoda
Corydendrium dispar,Holoplankton,Cnidaria
Corymorpha nutans,Holoplankton,Cnidaria
Corymorphidae,Holoplankton,Cnidaria
Corynebacterium pyruviciproducens,Non_plankton,Non_plankton
Corynidae,Holoplankton,Cnidaria
Coryphaenoides,Meroplankton,Meroplankton
Coryphaenoides rupestris,Meroplankton,Meroplankton
Coryphella borealis,Meroplankton,Meroplankton
Coryphella browni,Meroplankton,Meroplankton
Coryphella gracilis,Meroplankton,Meroplankton
Coryphella lineata,Meroplankton,Meroplankton
Coryphella orjani,Meroplankton,Meroplankton
Coryphella verrucosa,Meroplankton,Meroplankton
Corystes,Meroplankton,Meroplankton
Corystes cassivelaunus,Meroplankton,Meroplankton
Corystidae,Meroplankton,Meroplankton
Coscinodiscus granii,Phytoplankton,Phytoplankton
Coscinodiscus wailesii,Phytoplankton,Phytoplankton
Cosmetira pilosella,Holoplankton,Cnidaria
Crabronidae,Non_plankton,Non_plankton
Crambidae,Non_plankton,Non_plankton
Crangon,Meroplankton,Meroplankton
Crangon allmanni,Meroplankton,Meroplankton
Crangon crangon,Meroplankton,Meroplankton
Crangonidae,Meroplankton,Meroplankton
Crassiclitellata,Non_plankton,Non_plankton
Cricotopus sylvestris,Non_plankton,Non_plankton
Crisia eburnea,Meroplankton,Meroplankton
